package,latest_version,keywords,publish_time,description,creation_date,number_of_versions,download_count
gulp-nodemon,2.5.0,"['gulp', 'nodemon', 'develop', 'server', 'restart', 'automatically', 'watch', 'gulpfriendly', 'gulpplugin']",1583283661,it's gulp + nodemon + convenience,2014-01-05T23:40:52.564Z,26,1797966
send,1.1.0,"['static', 'file', 'server']",1725899886,Better streaming static file server with Range and conditional-GET support,2012-07-04T02:26:08.255Z,66,1605479498
@prismicio/helpers,2.3.9,"['typescript', 'helpers', 'utils', 'toolbox', 'prismic']",1674878309,Set of helpers to manage Prismic data,2020-04-23T10:31:34.076Z,40,3600511
@loki/diff-pixelmatch,0.35.0,['loki'],1711782708,Loki pixelmatch image differ,2021-02-09T09:22:43.145Z,8,1750848
lock-verify,2.2.2,[],1668597194,Report if your package.json is out of sync with your package-lock.json.,2017-08-10T20:48:07.991Z,10,6513395
@storybook/channels,8.4.4,['storybook'],1731566187,,2017-05-17T19:58:36.859Z,1966,616516150
@codemirror/view,6.34.3,"['editor', 'code']",1731655968,DOM view component for the CodeMirror code editor,2020-12-29T19:36:42.080Z,191,63200946
@fortawesome/free-regular-svg-icons,6.6.0,"['font', 'awesome', 'fontawesome', 'icon', 'svg', 'bootstrap']",1721120726,"The iconic font, CSS, and SVG framework",2018-03-12T21:40:15.697Z,77,37570857
browser-sync-ui,3.0.3,"['browser sync', 'live reload', 'css injection', 'action sync']",1727075238,User Interface for BrowserSync,2015-01-19T13:46:51.604Z,102,38776738
@types/webgl-ext,0.0.37,[],1706623471,TypeScript definitions for webgl-ext,2016-05-17T19:14:47.238Z,22,8522310
buffer-from,1.1.2,"['buffer', 'buffer from']",1627549533,"A [ponyfill](https://ponyfill.com) for `Buffer.from`, uses native implementation if available.",2016-08-18T19:54:04.205Z,7,1847323438
date-arithmetic,4.1.0,"['moment', 'date', 'math']",1577948456,simple date math util,2014-08-19T18:08:00.168Z,8,17229791
fclone,1.0.11,"['clone', 'deep', 'circular', 'json', 'stringify', 'fast']",1485150885,Clone objects by dropping circular references,2016-07-01T13:52:34.800Z,11,89824076
karma-source-map-support,1.4.0,"['karma-plugin', 'karma-framework', 'browserify', 'inline', 'sourcemap']",1549570455,Karma plugin for inline sourcemap support,2015-01-02T22:00:08.054Z,5,121886404
bonjour-service,1.2.1,"['bonjour', 'zeroconf', 'zero', 'configuration', 'mdns', 'dns', 'service', 'discovery', 'multicast', 'broadcast', 'dns-sd']",1704690313,A Bonjour/Zeroconf implementation in TypeScript,2021-03-19T23:18:49.806Z,18,420894915
@pnpm/dedupe.issues-renderer,2.0.0,['pnpm9'],1712647368,Visualize pnpm dedupe --check issues.,2023-04-16T21:21:58.849Z,3,3359963
micromark-util-subtokenize,2.0.2,"['micromark', 'util', 'utility', 'tokenize']",1731381472,micromark utility to tokenize subtokens,2021-06-07T09:26:49.279Z,11,251815249
ziggy-js,2.4.0,"['laravel', 'routes', 'ziggy']",1731144173,Use your Laravel named routes in JavaScript.,2020-05-01T20:15:58.156Z,55,1383522
@types/split2,4.2.3,[],1699347341,TypeScript definitions for split2,2016-08-02T16:11:46.898Z,12,4604937
get-func-name,3.0.0,"['get-func-name', 'chai util']",1695694327,Utility for getting a function's name for node and the browser,2016-10-11T23:42:17.896Z,5,507132299
volar-service-yaml,0.0.62,['volar-service'],1724837452,Integrate yaml-language-server into Volar,2023-09-03T07:28:07.653Z,51,1332668
next-sanity,9.8.15,"['sanity', 'sanity.io', 'next.js', 'studio', 'studio-v3', 'live', 'preview']",1731658311,Sanity.io toolkit for Next.js,2020-10-22T14:47:39.117Z,398,3692373
animate.css,4.1.1,[],1599449170,[![GitHub Version](https://img.shields.io/github/release/daneden/animate.css.svg?style=for-the-badge)](https://github.com/daneden/animate.css) [![Github Star](https://img.shields.io/github/stars/daneden/animate.css.svg?style=for-the-badge)](https://github,2014-06-03T01:13:14.613Z,15,21683352
hpack.js,2.1.6,"['HPACK', 'HTTP2', 'compress', 'decompress', 'headers']",1474192836,HPACK implementation,2015-06-13T17:28:16.079Z,9,570170697
react-promise-suspense,0.3.4,"['react', 'fetch', 'suspense', 'promise', 'hooks']",1676157890,React hook for resolving promises with Suspense support,2019-03-11T11:25:46.160Z,7,5956749
has-passive-events,1.0.0,"['path', 'url']",1516961007,Check if passive events are available on the current device,2018-01-26T18:03:27.017Z,1,9447033
extract-files,13.0.0,"['extract', 'file', 'files', 'File', 'FileList', 'Blob', 'esm', 'mjs']",1661727541,"A function to recursively extract files and their object paths within a value, replacing them with null in a deep clone without mutating the original value. FileList instances are treated as File instance arrays. Files are typically File and Blob instance",2017-07-12T08:15:28.832Z,21,221146781
jquery.iframe-transport,1.0.0,[],1439354009,jQuery plugin that implements an iframe transport so that ajax calls support the uploading of files using standard HTML file input fields,2015-08-12T12:33:29.685Z,1,409257
react-jwt,1.2.2,"['jwt', 'react jwt', 'jsonwebtoken', 'react', 'auth', 'authentication']",1721764122,Small library for decoding json web tokens (JWT),2020-08-02T15:23:03.218Z,23,2282679
handlebars-helper-create-frame,0.1.0,"['create', 'frame', 'generategenerator', 'handlebars', 'helper', 'helpers', 'render', 'template', 'templates']",1483633018,Handlebars block helper for creating private variables that are accessible inside the block.,2017-01-06T00:16:58.014Z,1,5500886
file-url,4.0.0,"['file', 'url', 'uri', 'path', 'scheme', 'slash']",1617793511,Convert a file path to a file url: `unicorn.jpg` → `file:///Users/sindresorhus/unicorn.jpg`,2014-04-04T14:49:13.405Z,9,23218720
mini-svg-data-uri,1.4.4,"['svg', 'url', 'data', 'uri', 'minification', 'url encoding']",1646834679,"Small, efficient encoding of SVG data URIs for CSS, HTML, etc.",2017-12-26T21:33:27.560Z,9,101857279
@types/lodash.omitby,4.6.9,[],1699323642,TypeScript definitions for lodash.omitby,2016-12-05T21:33:06.958Z,10,1151701
@wangeditor/core,1.1.19,[],1668364049,wangEditor core,2021-08-14T17:19:29.529Z,75,716905
@storybook/addon-webpack5-compiler-swc,1.0.5,"['storybook-addons', 'webpack5', 'swc']",1722203735,Adds SWC as a Webpack5 compiler to Storybook,2024-01-03T10:54:53.841Z,18,5638941
turndown,7.2.0,"['converter', 'html', 'markdown']",1716075611,A library that converts HTML to Markdown,2017-06-02T17:09:43.122Z,23,32738399
cipher-base,1.0.4,"['cipher', 'stream']",1499426457,abstract base class for crypto-streams,2015-09-26T21:01:59.671Z,5,452032383
eslint-plugin-rulesdir,0.2.2,"['eslint', 'eslintplugin', 'eslint-plugin']",1671225593,Allows a local ESLint rules directory to be used without a command-line flag,2017-06-30T07:06:05.342Z,4,11671877
@rc-component/qrcode,1.0.0,"['react', 'react-component', 'react-qrcode', 'qrcode']",1718823222,base abstract trigger component for react,2024-06-20T02:53:42.305Z,1,6752977
unquoted-property-validator,1.1.0,"['string', 'literal', 'mathias', 'brackets', 'dot notation', 'validation', 'code-style']",1550021062,Unquoted JavaScript property name validator,2014-08-30T08:01:34.252Z,5,211559
vite-plugin-compression,0.5.1,"['vite', 'vite-plugin', 'imagemin', 'vben']",1643390190,Use gzip or brotli to compress resources.,2021-02-04T07:12:23.255Z,17,5308111
@azu/style-format,1.0.1,"['style', 'text', 'format']",1676655710,Library to easily style texts with string formatting,2016-05-14T03:37:14.726Z,3,3442591
get-paths,0.0.7,"['get-paths', 'lass']",1567751628,Helper function to get an absolute path for a template engine view,2017-09-22T08:39:42.191Z,6,7119912
@hyas/images,3.2.0,[],1713502543,Hyas images,2021-10-26T09:00:42.998Z,18,153420
fengari-interop,0.1.3,"['lua', 'fengari', 'language']",1638170994,JS library for Fengari,2018-03-31T13:36:54.980Z,4,23215041
babel-plugin-transform-es2015-sticky-regex,6.24.1,['babel-plugin'],1491549552,Compile ES2015 sticky regex to an ES5 RegExp constructor,2015-10-29T18:15:47.528Z,32,72720005
@pnpm/exec,2.0.0,"['pnpm', 'exec']",1603986661,"Executes pnpm. If pnpm is not installed, installs it first",2017-10-29T20:20:20.717Z,11,696026
eslint-config-hexo,5.0.0,"['hexo', 'eslint-config']",1641443394,ESLint config for Hexo projects,2015-12-01T13:35:33.835Z,13,66287
yaku,1.0.1,"['light-weight', 'es6', 'promise', 'performance', 'promises', 'promises-a', 'promises-aplus', 'async', 'await', 'deferred', 'deferreds', 'future', 'flow control']",1583747372,A lightweight promise library,2015-02-20T17:49:39.397Z,137,7536433
btoa,1.2.1,"['btoa', 'browser']",1522184047,btoa for Node.JS (it's a one-liner),2011-09-09T20:52:25.639Z,6,142694828
eslint-visitor-keys,4.2.0,[],1730201099,Constants and utilities about visitor keys to traverse AST.,2017-11-17T08:52:53.415Z,18,3641979018
@highlightjs/cdn-assets,11.10.0,"['highlight', 'syntax']",1720271587,Syntax highlighting with language autodetection. (pre-compiled CDN assets),2020-03-17T03:09:53.021Z,41,2956423
libnpmpublish,10.0.0,[],1727949190,Programmatic API for the bits behind npm publish and unpublish,2018-08-31T01:51:34.372Z,58,85917391
@storybook/mdx1-csf,1.0.0,[],1680480277,MDXv1 to CSF webpack compiler and loader,2022-02-22T00:59:56.232Z,30,61938688
opentracing,0.14.7,[],1641406003,[![Build Status][ci-img]][ci] [![Coverage Status][cov-img]][cov] [![NPM Published Version][npm-img]][npm] ![Node Version][node-img] [![Join the chat at https://gitter.im/opentracing/opentracing-javascript](https://badges.gitter.im/opentracing/opentracing-,2016-01-11T19:43:42.841Z,40,163599417
@math.gl/types,4.1.0,"['typescript', 'javascript', 'webgl', 'math', 'array type']",1725741112,TypeScript types for math.gl,2021-11-17T01:47:07.750Z,24,10269553
isomorphic-dompurify,2.16.0,"['security', 'dompurify', 'xss-filter', 'xss', 'isomorphic', 'wrapper', 'universal', 'ssr', 'html-escape', 'sanitize', 'sanitize-html', 'sanitizer']",1727433268,Makes it possible to use DOMPurify on server and client in the same way.,2020-03-19T08:58:21.050Z,58,25683438
@ember-data/adapter,5.3.9,['ember-addon'],1729527036,Provides Legacy JSON:API and REST Implementations of the Adapter Interface for use with @ember-data/store,2019-05-01T02:00:45.865Z,540,4904598
acorn-jsx,5.3.2,[],1625764557,"Modern, fast React.js JSX parser",2014-07-11T07:44:05.808Z,38,1667825635
@nx/nx-darwin-x64,20.1.2,[],1731663512,,2023-04-17T15:02:45.344Z,741,30096150
@formkit/vue,1.6.9,"['vue', 'forms', 'inputs', 'validation']",1731647101,Build industry leading Vue forms 10x faster.,2022-02-03T22:53:09.001Z,463,2071328
d3-cloud,1.2.7,"['word', 'cloud', 'tag', 'visualization', 'canvas']",1691423139,Generate word clouds in JavaScript.,2015-09-23T16:08:14.954Z,8,8183299
@lerna/batch-packages,3.16.0,"['lerna', 'utils']",1563464669,An internal Lerna tool,2018-03-07T02:14:44.701Z,16,848738
@types/express-session,1.18.0,[],1708949265,TypeScript definitions for express-session,2016-05-17T04:54:01.814Z,43,30697230
@babel/plugin-syntax-typescript,7.25.9,"['babel-plugin', 'typescript']",1729581657,Allow parsing of TypeScript syntax,2017-10-30T18:34:30.095Z,80,1299741295
@exlinc/keycloak-passport,1.0.2,"['keycloak', 'passport', 'exlinc', 'keycloak-passport']",1532292255,Flexible Keycloak Passport strategy (with multi-realm support) by EXL Inc.,2018-07-23T01:15:35.263Z,3,203731
datatables.net-fixedcolumns-bs4,5.0.4,"['FixedColumns', 'Bootstrap', 'Bootstrap4', 'Datatables', 'jQuery', 'table', 'filter', 'sort']",1729646222,FixedColumns for DataTables with styling for [Bootstrap4](https://getbootstrap.com/docs/4.6/getting-started/introduction/),2016-12-21T14:27:52.879Z,22,1228175
@tryghost/nql-lang,0.6.3,[],1729148986,tbc,2022-03-01T14:20:11.894Z,12,260830
@react-email/code-inline,0.0.4,[],1724309843,Display a predictable inline code HTML element that works on all email clients,2024-01-19T01:12:00.181Z,8,8902793
rx,4.1.0,"['LINQ', 'FRP', 'Reactive', 'Events', 'Rx', 'RxJS']",1457353521,Library for composing asynchronous and event-based operations in JavaScript,2011-02-09T17:09:37.008Z,103,80130921
array-iterate,2.0.1,"['array', 'list', 'iterate', 'walk']",1635320722,`Array#forEach()` but it’s possible to define where to move to next,2014-11-12T17:23:09.109Z,10,20415981
detect-indent,7.0.1,"['indent', 'indentation', 'detect', 'infer', 'identify', 'code', 'string', 'text', 'source', 'space', 'tab']",1662871207,Detect the indentation of code,2013-08-11T00:28:27.860Z,17,697720012
@babel/helper-regex,7.10.5,[],1594721861,Helper function to check for literal RegEx,2017-10-30T18:34:05.367Z,42,53983836
ev-store,7.0.0,[],1419140014,Stores event listeners and event handles on a DOM object,2014-12-21T12:44:09.683Z,1,2144608
dom-set,1.1.1,[],1495838023,Create functions for operating on a list of DOM elements,2016-11-03T04:38:36.724Z,4,2451337
@napi-rs/nice-android-arm64,1.0.1,"['napi-rs', 'NAPI', 'N-API', 'Rust', 'node-addon', 'node-addon-api', 'nice']",1726432140,https://linux.die.net/man/2/nice binding for Node.js,2024-09-14T02:32:30.623Z,2,506606
@dicebear/adventurer,9.2.2,['dicebear'],1726398733,Avatar style for DiceBear,2021-10-17T16:51:46.298Z,122,465335
di,0.0.1,"['di', 'dependency', 'injection', 'injector']",1364992713,Dependency Injection for Node.js. Heavily inspired by AngularJS.,2013-01-24T17:46:06.250Z,17,120405810
@react-spring/rafz,9.7.5,"['animated', 'animation', 'hooks', 'motion', 'react', 'react-native', 'spring', 'typescript', 'velocity']",1728257831,react-spring's fork of rafz one frameloop to rule them all,2021-06-07T12:46:05.471Z,67,52355293
has-tostringtag,1.0.2,"['javascript', 'ecmascript', 'symbol', 'symbols', 'tostringtag', 'Symbol.toStringTag']",1706795040,"Determine if the JS environment has `Symbol.toStringTag` support. Supports spec, or shams.",2021-08-05T14:59:41.280Z,3,1792355977
@atproto/api,0.13.16,"['atproto', 'bluesky', 'api']",1731510243,Client library for atproto and Bluesky,2022-12-21T19:59:13.976Z,161,845998
diff,7.0.0,"['diff', 'jsdiff', 'compare', 'patch', 'text', 'json', 'css', 'javascript']",1725631625,A JavaScript text diff implementation.,2011-03-29T17:19:02.655Z,44,2098135808
strictdom,1.0.1,[],1470356496,Throws errors when performance sensitive DOM APIs are called out of 'phase',2015-12-30T19:56:48.821Z,3,2370899
promise-map-series,0.3.0,[],1576819823,"Map over array avoiding parallel execution, using promises",2014-02-28T23:36:18.872Z,6,38834876
which-typed-array,1.1.15,"['array', 'TypedArray', 'typed array', 'which', 'typed', 'Int8Array', 'Uint8Array', 'Uint8ClampedArray', 'Int16Array', 'Uint16Array', 'Int32Array', 'Uint32Array', 'Float32Array', 'Float64Array', 'ES6', 'toStringTag', 'Symbol.toStringTag', '@@toStringTag']",1710101827,"Which kind of Typed Array is this JavaScript value? Works cross-realm, without `instanceof`, and despite Symbol.toStringTag.",2015-10-05T22:40:31.831Z,18,1729753014
zipkin-javascript-opentracing,3.0.0,"['zipkin', 'opentracing', 'tracing', 'tracking', 'performance', 'benchmarking']",1598720199,An opentracing implementation for zipkin,2017-07-14T11:55:45.834Z,23,114416
@unified-latex/unified-latex-util-comments,1.8.0,"['pegjs', 'latex', 'parser', 'prettier', 'unified-latex', 'unified']",1724312281,Tools for manipulating unified-latex ASTs,2022-05-14T02:08:36.051Z,23,117114
pretty-ms,9.2.0,"['pretty', 'prettify', 'human', 'humanize', 'humanized', 'readable', 'time', 'ms', 'milliseconds', 'duration', 'period', 'range', 'text', 'string', 'number', 'hrtime']",1731634647,Convert milliseconds to a human readable string: `1337000000` → `15d 11h 23m 20s`,2014-03-20T14:38:54.663Z,27,234669504
canvas,2.11.2,"['canvas', 'graphic', 'graphics', 'pixman', 'cairo', 'image', 'images', 'pdf']",1680442435,Canvas graphics API backed by Cairo,2010-12-19T04:03:01.787Z,148,96524088
isomorphic-timers-promises,1.0.1,"['timers', 'promises', 'async', 'promise', 'settimeout', 'setinterval', 'setimmediate']",1625006759,`timers/promises` for client and server.,2021-06-29T17:03:23.249Z,2,14462685
@react-stately/virtualizer,4.1.0,[],1727714021,Spectrum UI components in React,2020-06-12T00:58:59.464Z,806,30352944
node-fetch-native,1.6.4,[],1711021429,better fetch for Node.js. Works on any JavaScript runtime!,2022-05-11T18:57:04.171Z,29,226414029
ml-distance-euclidean,2.0.0,"['euclidean', 'squared', 'distance', 'metric', 'vector', 'data', 'mining', 'datamining', 'machine', 'learning']",1534044047,Compute the euclidean distance between two vectors,2016-08-03T06:29:45.941Z,2,17666961
cssom,0.5.0,"['CSS', 'CSSOM', 'parser', 'styleSheet']",1624190111,CSS Object Model implementation and CSS parser,2011-10-24T21:58:19.383Z,21,1588222465
@develar/schema-utils,2.6.5,['webpack'],1583893985,webpack Validation Utils,2019-07-24T07:28:01.728Z,2,13188297
@reactioncommerce/api-plugin-authorization-simple,1.3.2,[],1629364546,Simple Authorization plugin for the Reaction API,2020-04-29T20:22:06.615Z,6,3279
@types/graphql,14.5.0,[],1566546463,"Stub TypeScript definitions entry for graphql, which provides its own types definitions",2016-10-05T20:57:18.982Z,53,21177373
remark-external-links,10.0.0,[],1727755334,Deprecated: this package is no longer maintained. Please use `remark-rehype` to move from remark (markdown) to rehype (HTML) and then replace `remark-external-links` with [`rehype-external-links`][rehype-external-links].,2017-01-25T17:13:08.679Z,17,172890245
lodash.clonedeepwith,4.5.0,"['lodash-modularized', 'clonedeepwith']",1471081043,The lodash method `_.cloneDeepWith` exported as a module.,2016-01-13T10:58:01.372Z,14,12772980
@codspeed/vitest-plugin,3.1.1,"['codspeed', 'benchmark', 'vitest', 'performance']",1721616782,vitest plugin for CodSpeed,2023-11-17T16:58:52.912Z,5,220904
truncate-html,1.1.2,"['truncate html', 'html', 'truncate']",1723713551,Truncate HTML and Keep Tags,2015-11-25T09:55:52.116Z,28,2271437
slash2,2.0.0,"['path', 'seperator', 'sep', 'slash', 'backslash', 'windows', 'win']",1527786115,Convert Windows backslash paths to slash paths,2018-06-01T01:01:55.158Z,1,829944
@swagger-api/apidom-ns-asyncapi-2,1.0.0-alpha.10,[],1729489950,AsyncAPI 2.x.y namespace for ApiDOM.,2023-02-28T15:58:21.503Z,54,17498797
@aws-amplify/auth,6.6.2,[],1731506545,Auth category of aws-amplify,2018-04-19T17:56:39.462Z,2171,40657591
react-engine,4.5.1,"['react', 'render', 'render engine', 'react-router', 'view engine', 'express', 'jsx']",1517779442,a composite render engine for express apps to render both plain react views and react-router views,2015-04-09T23:43:32.952Z,41,16318
batch-processor,1.0.0,[],1454729342,Batch processing in JS,2015-04-13T08:40:57.596Z,4,65716037
radix3,1.1.2,[],1711352346,Lightweight and fast router for JavaScript based on Radix Tree,2021-11-24T20:19:01.014Z,11,48968182
apollo-fetch,0.7.0,[],1512507846,Lightweight implementation of fetch for GraphQL requests,2017-06-29T19:05:37.952Z,10,721858
simple-wcswidth,1.0.1,"['wcwidth', 'wcswidth', 'console-width']",1607479166,Simplified JS/TS implementation of wcswidth() written by Markus Kuhn in C,2020-12-08T08:33:32.755Z,2,14850074
@angular/core,18.2.12,[],1731571963,Angular - the core framework,2016-04-28T04:23:30.108Z,855,172533455
@types/validator,13.12.2,[],1726484842,TypeScript definitions for validator,2016-05-17T19:11:21.194Z,82,261455514
ts-key-enum,3.0.13,"['typescript', 'javascript', 'keycodes', 'key', 'enum', 'ts', 'event.which', 'event.key', 'event.keycode']",1723529717,A TypeScript string enum for compile-time safety when working with event.key,2018-06-13T15:12:13.037Z,29,3573304
is-any-array,2.0.1,[],1682643703,Check if a value is any kind of array,2018-10-26T05:25:28.960Z,8,25286477
rc-virtual-list,3.15.0,"['react', 'react-component', 'virtual-list']",1730749891,React Virtual List Component,2019-07-05T08:56:16.218Z,128,65362660
@ephox/bedrock-common,14.1.1,[],1704758393,,2019-10-15T02:18:21.226Z,19,227024
msgpack5,6.0.2,"['msgpack', 'extension', 'v5', 'MessagePack', 'ext']",1657844533,"A msgpack v5 implementation for node.js and the browser, with extension points",2014-07-21T10:46:48.546Z,51,6552324
ember-cli-mirage,3.0.4,"['ember-addon', 'pretender', 'prototype', 'server', 'testing']",1725389072,"A client-side server to help you build, test and demo your Ember app",2015-02-28T17:36:35.692Z,103,3339191
@wordpress/block-serialization-default-parser,5.12.0,"['wordpress', 'gutenberg', 'block', 'parser']",1731751889,Block serialization specification parser for WordPress posts.,2018-09-30T20:23:03.408Z,149,2316255
apollo-codegen-core,0.40.9,[],1651610549,Core generator APIs for Apollo Codegen,2018-06-18T20:39:19.982Z,168,17463721
@uiw/codemirror-theme-tokyo-night-storm,4.23.6,"['codemirror', 'codemirror6', 'theme', 'tokyo-night', 'tokyo-night-storm', 'syntax', 'ide', 'code']",1729799316,Theme tokyo-night-storm for CodeMirror.,2022-12-07T05:27:11.782Z,59,166436
express-session,1.18.1,[],1728388616,Simple session middleware for Express,2014-02-16T00:49:14.605Z,65,100524754
@material/auto-init,14.0.0,[],1651136102,"Declarative, easy-to-use auto-initialization for Material Components for the web",2016-12-15T17:42:53.864Z,1664,41897679
@tryghost/bookshelf-search,0.1.28,[],1724264119,## Install,2021-06-15T10:37:40.245Z,29,198906
fomatto,0.5.0,[],1299214497,Lightweight JavaScript String Interpolation.,2011-02-27T11:49:13.566Z,1,774
chardet,2.0.0,"['encoding', 'character', 'utf8', 'detector', 'chardet', 'icu', 'character detection', 'character encoding', 'language', 'iconv', 'iconv-light', 'UTF-8', 'UTF-16', 'UTF-32', 'ISO-2022-JP', 'ISO-2022-KR', 'ISO-2022-CN', 'Shift_JIS', 'Big5', 'EUC-JP', 'EUC-KR', 'GB18030', 'ISO-8859-1', 'ISO-8859-2', 'ISO-8859-5', 'ISO-8859-6', 'ISO-8859-7', 'ISO-8859-8', 'ISO-8859-9', 'windows-1250', 'windows-1251', 'windows-1252', 'windows-1253', 'windows-1254', 'windows-1255', 'windows-1256', 'KOI8-R']",1695831331,Character encoding detector,2013-04-30T13:49:58.845Z,27,1016326525
lerp,1.0.3,"['linear', 'interpolation', 'lerp', 'interp', 'smoothstep', 'mix', 'anim', 'animation', 'animate']",1421405701,bare-bones linear interpolation function,2014-08-27T17:11:23.816Z,4,3682669
ember-concurrency,4.0.2,"['ember-addon', 'concurrency', 'task', 'tasks', 'cancellation', 'cancelation']",1710787541,Improved concurrency/async primitives for Ember.js,2016-01-18T01:32:09.772Z,141,6803642
nextjs-toploader,3.7.15,"['Next', 'Next TopLoader', 'Next.js', 'Next.js 14', 'Next.js 13', 'Nprogress', 'React', 'Top Loading Bar', 'Progressbar']",1728112637,"A Next.js Top Loading Bar component made using nprogress, works with Next.js 14 and React.",2023-03-06T18:48:37.169Z,22,3445301
@qii404/json-bigint,1.0.0,"['JSON', 'bigint', 'bignumber', 'parse', 'json']",1642529146,"JSON.parse with bigints support, forked from sidorares/json-bigint by qii404",2022-01-19T02:05:46.737Z,1,1486
stylelint-config-sass-guidelines,12.1.0,"['stylelint', 'stylelint-config', 'stylelint-scss', 'scss', 'sass', 'guidelines', 'lint', 'linter']",1726294540,Sharable stylelint config based on https://sass-guidelin.es/,2016-06-28T01:19:57.431Z,33,13350056
canonical-path,1.0.0,"['path', 'forward', 'slashes', 'OS', 'windows']",1540352896,paths that always use forward slashes,2013-12-19T21:22:46.422Z,3,20019760
@glimmer/node,0.92.4,[],1726193817,,2017-01-13T18:40:32.644Z,274,1853898
mixin-deep,2.0.1,"['assign', 'deep', 'extend', 'key', 'keys', 'merge', 'mixin', 'object', 'prop', 'properties', 'util', 'values']",1560937634,"Deeply mix the properties of objects into the first object. Like merge-deep, but doesn't clone. No dependencies.",2014-09-22T15:35:27.479Z,13,606290584
axios-rate-limit,1.4.0,"['axios', 'rate', 'limit']",1717067205,Rate limit for axios.,2019-04-20T19:22:20.441Z,17,3735493
@babel/plugin-transform-dotall-regex,7.25.9,"['babel-plugin', 'regex', 'regexp', 'regular expressions', 'dotall']",1729581686,Compile regular expressions using the `s` (`dotAll`) flag to ES5.,2017-12-25T19:05:13.449Z,71,1129892375
passport-okta-oauth,0.0.1,"['passport', 'okta', 'auth', 'authn', 'authentication', 'identity']",1505980817,Passport strategy for authenticating with Okta using OAuth 2.0.,2017-09-21T16:00:17.962Z,1,333809
@vue/cli-service,5.0.8,"['vue', 'cli']",1657160529,local service for vue-cli projects,2018-01-25T16:36:34.377Z,165,33191191
retext-emoji,9.0.0,"['emoji', 'emoticon', 'gemoji', 'plugin', 'retext', 'retext-plugin', 'unified']",1693983610,"retext plugin to support emoji, gemoji, and emoticons",2014-06-03T22:23:56.413Z,33,710595
graphql-iso-date,3.6.1,"['GraphQL', 'Scalar', 'Date', 'Node', 'ISO']",1537064561,A set of RFC 3339 compliant date/time GraphQL scalar types.,2016-08-07T14:29:47.872Z,14,7051951
path-root-regex,0.1.2,"['detect', 'expression', 'file', 'filepath', 'match', 'parse', 'path', 'regex', 'regexp', 'regular', 'root', 'test']",1459206396,Regular expression for getting the root of a posix or windows filepath.,2016-03-29T06:52:33.322Z,3,270356361
to-buffer,1.1.1,[],1524725784,"Pass in a string, get a buffer back. Pass in a buffer, get the same buffer back",2016-02-15T20:04:36.934Z,4,167162364
clone-stats,1.0.0,"['stats', 'fs', 'clone', 'copy', 'prototype']",1463420021,Safely clone node's fs.Stats instances without losing their class methods,2014-01-11T05:13:00.967Z,3,192425578
@stardazed/streams-text-encoding,1.0.2,[],1537239466,Implementation of text encoder and decoder streams,2018-09-17T16:50:05.266Z,3,34196
http-server,14.1.1,"['cli', 'command', 'static', 'http', 'https', 'http-server', 'https-server', 'server']",1654004067,A simple zero-configuration command-line http server,2011-06-17T00:03:43.653Z,49,113083679
@cspell/dict-html,4.0.10,"['cspell', 'html', 'html', 'dictionary', 'spelling']",1729544406,HTML dictionary for cspell.,2020-11-28T01:07:45.462Z,28,25199210
@dipakparmar/docusaurus-plugin-umami,2.1.7,"['umami', 'analytics', 'docusaurus', 'docusaurus-plugin', 'docusaurus-plugin-umami']",1731354160,Umami Analytics plugin for Docusaurus v2.,2022-05-31T06:51:38.674Z,18,402265
workbox-window,7.3.0,"['workbox', 'workboxjs', 'service worker', 'sw', 'window', 'message', 'postMessage']",1730189262,Simplifies communications with Workbox packages running in the service worker,2019-01-15T19:55:37.115Z,60,209417422
memfs,4.14.0,"['fs', 'filesystem', 'fs.js', 'memory-fs', 'memfs', 'file', 'file system', 'mount', 'memory', 'in-memory', 'virtual', 'test', 'testing', 'mock', 'fsa', 'file system access', 'native file system', 'webfs', 'crudfs', 'opfs', 'casfs', 'content addressable storage']",1728814995,In-memory file-system with Node's fs API.,2015-06-15T21:28:57.055Z,154,746121102
minipass-collect,2.0.1,[],1692531512,A Minipass stream that collects all the data into a single chunk,2019-09-15T22:24:54.265Z,5,754132729
@rgba-image/lanczos,0.1.1,[],1627356089,Resize an ImageData using Lanczos resampling,2018-11-02T03:57:58.900Z,2,1916317
@ember/ordered-set,4.0.0,['ember-addon'],1603891131,The default blueprint for ember-cli addons.,2017-11-08T22:04:21.056Z,8,1402889
@types/jsonwebtoken,9.0.7,[],1726483203,TypeScript definitions for jsonwebtoken,2016-05-17T05:25:48.186Z,52,406717068
events-listener,1.1.0,"['events', 'EventEmitter', 'listenTo', 'node', 'node.js', 'stopListening']",1524076716,Listen to events from a Node.js EventEmitter.,2017-04-30T19:25:33.083Z,4,20255977
@unocss/transformer-directives,0.64.1,"['unocss', 'unocss-transformer']",1731620778,UnoCSS transformer for `@apply` directive,2022-02-21T11:58:18.361Z,255,9609605
@lerna/package,6.4.1,"['lerna', 'core']",1673523487,Lerna's internal representation of a package,2018-03-07T02:14:33.587Z,62,28723792
rollup-plugin-postcss,4.0.2,"['postcss', 'rollup']",1637556634,Seamless integration between Rollup and PostCSS,2015-12-07T16:41:29.452Z,87,31615028
focusable-selectors,0.8.4,"['css', 'selectors', 'focus', 'a11y']",1696416100,A list of CSS selectors for focusable elements,2021-02-14T13:05:33.864Z,13,2910487
